,dataset,n_objects,n_features,objects_features_ratio,min_maj_ratio,dist_class_centers,mean_dist_between_classes_0.0-0.3,mean_dist_between_classes_0.3-0.7,mean_dist_between_classes_0.7-1.0,max_major_cov_abs_eigenvalue,max_minor_cov_abs_eigenvalue,min_major_cov_abs_eigenvalue,min_minor_cov_abs_eigenvalue,min_major_skewness,min_minor_skewness,max_major_skewness,max_minor_skewness,min_major_skewness_pvalue,min_minor_skewness_pvalue,max_major_skewness_pvalue,max_minor_skewness_pvalue,min_major_skewness_stat,min_minor_skewness_stat,max_major_skewness_stat,max_minor_skewness_stat,min_major_kurtosis,min_minor_kurtosis,max_major_kurtosis,max_minor_kurtosis,min_major_kurtosis_pvalue,min_minor_kurtosis_pvalue,max_major_kurtosis_pvalue,max_minor_kurtosis_pvalue,min_major_kurtosis_stat,min_minor_kurtosis_stat,max_major_kurtosis_stat,max_minor_kurtosis_stat
0,data2_0,4180,10,418,0.508,3.51,2.47,4.44,7.22,4.44,4.15,3.92E-016,2.94E-015,-0.49,-0.653,1.94,10.4,3.42582468966314E-175,0,1.40594106481356E-006,0.0075334201,-10.0125099975,-9.2233890853,28.2189302695,40.9047772962,-1.95,-1.57,6.89,253,2.86816497822282E-087,4.71558350691376E-149,1,1,0,-4.6867239629,19.801875085,26.0018796384
0,data2_1,4180,10,418,0.53,2.51,2.23,4.02,6.84,6.21,4.53,4.42E-016,9.13E-016,-0.482,-0.376,5.18,2.54,0,3.01497525704727E-124,3.12854294612219E-008,0.5255057819,-9.7901821614,-5.6834484871,44.5871721323,23.7075348473,-1.93,-1.97,122,4.46,4.60701262863788E-249,6.85932332985001E-035,1,1,-9.5911796113,-0.7522398484,33.7067275625,12.322432875
0,data2_10,699,9,77.7,0.526,4.57,3.66,5.39,7.29,0.504,3.27,0.0254,0.201,0.341,-0.938,10.8,1.79,5.62087779559014E-129,1.27468809695474E-016,0.0032279555,0.9782633265,2.9451524731,-5.2872555653,24.1617351173,8.2759188327,-0.792,-1.46,129,2.15,1.41381511274643E-049,0,5.34029948261655E-009,0.0141374697,-5.836205592,-128.0943242131,14.8023839422,3.9803321672
0,data2_12,198,33,6,0.311,1.8,5.06,7.28,10.7,10.5,11.3,0.000394,0.0000951,-0.179,-0.198,3.88,2.05,6.76073067298345E-024,4.10174910027917E-006,0.3508957876,0.9768743598,-0.9328531636,-0.6158209004,10.0801725293,4.6061589481,-0.975,-0.912,23.9,5.74,1.66356117672599E-014,0.0001456652,0.843697262,0.9463372463,-4.6198718243,-1.8287141222,7.6742755612,3.7983454514
0,data2_14,62,1910,0.0325,0.55,21,52.4,62.7,73.5,352,337,8.93E-020,1.81E-018,-0.69,-0.803,5.74,4.36,1.75048092341366E-013,1.34979108195164E-008,0.9992373318,0.9996609516,-1.9016215416,-1.758824948,7.3665897643,5.6796392685,-1.36,-1.54,32.3,17,4.48875207010719E-009,1.23274949485332E-006,0.9994380975,0.9994504345,-3.8939449199,-3.3059230849,5.865095153,4.8502998876
0,data2_16_1,1460,256,5.7,0.102,8.64,17.9,21.1,27.2,17.2,33,0,0,-0.422,-4.03,36.3,11.5,0,1.27739432728536E-046,0.9086981832,0.989993933,-6.0515223924,-9.7781339316,55.0875972511,14.3374071338,-3,-3,1320,130,0,0,1,1,-97.8614325726,-81.6127349754,27.5063845415,9.3455237863
0,data2_19_0,1000,1020,0.977,0.103,11.4,36.3,42.7,52.6,73.8,107,0,0,-0.551,-2.95,30.1,9.49,0,1.87335930964965E-031,0.9781956004,0.927913916,-6.4066557059,-7.2615006033,43.9240288447,11.6672712989,-3,-3,902,88,0,0,1,1,-106.1482350821,-75.8546766895,22.7205888584,8.0568013764
0,data2_19_1,1000,1020,0.977,0.107,11,36.3,42.3,51,75.6,98.4,0,0,-1,-2.02,30,9.7,0,7.51370394044436E-033,0.9781466091,0.9295735227,-10.4504383298,-6.0048829242,43.8077520494,11.9378537377,-3,-3,898,92,0,0,1,1,-116.8492441108,-37.9306262298,22.670132619,8.1889308777
0,data2_19_2,1000,1020,0.977,0.119,10.9,35.8,42,51.2,75.4,89.5,0,0,-1,-1.95,29.8,10.1,0,4.95028132068807E-036,0.9560870428,1,-10.3993738022,-6.0896966636,43.5453794034,12.5326154228,-3,-3,889,101,0,0,1,1,-276.7319482661,-71.8592030162,22.5562314639,8.4779592501
0,data2_2,4180,10,418,0.464,1.03,2.06,3.76,6.14,8.04,3.92,2.2E-015,3.56E-015,-0.445,-0.638,3.45,1.5,0,9.97169184824354E-063,8.88106628366524E-018,6.15362753795232E-005,-9.3035270577,-8.7618355265,38.4553330756,16.7163026776,-1.74,-1.93,75.8,17.9,1.97331122423185E-282,2.39281427310273E-072,1,1,-35.9121606716,-0.2515733008,32.7790161101,17.9886108143
