,bootstrap,bootstrap,bootstrap,bootstrap,bootstrap,bootstrap,bootstrap,bootstrap,bootstrap,bootstrap,bootstrap,bootstrap,rus,rus,rus,rus,rus,rus,rus,rus,rus,rus,rus,rus,smote1,smote1,smote1,smote1,smote1,smote1,smote1,smote1,smote1,smote1,smote1,smote1,smote3,smote3,smote3,smote3,smote3,smote3,smote3,smote3,smote3,smote3,smote3,smote3,smote5,smote5,smote5,smote5,smote5,smote5,smote5,smote5,smote5,smote5,smote5,smote5,smote7,smote7,smote7,smote7,smote7,smote7,smote7,smote7,smote7,smote7,smote7,smote7
,max_mean,max_mean,max_mean,max_mean,min_pval,min_pval,min_pval,min_pval,min_pval_winmax,min_pval_winmax,min_pval_winmax,min_pval_winmax,max_mean,max_mean,max_mean,max_mean,min_pval,min_pval,min_pval,min_pval,min_pval_winmax,min_pval_winmax,min_pval_winmax,min_pval_winmax,max_mean,max_mean,max_mean,max_mean,min_pval,min_pval,min_pval,min_pval,min_pval_winmax,min_pval_winmax,min_pval_winmax,min_pval_winmax,max_mean,max_mean,max_mean,max_mean,min_pval,min_pval,min_pval,min_pval,min_pval_winmax,min_pval_winmax,min_pval_winmax,min_pval_winmax,max_mean,max_mean,max_mean,max_mean,min_pval,min_pval,min_pval,min_pval,min_pval_winmax,min_pval_winmax,min_pval_winmax,min_pval_winmax,max_mean,max_mean,max_mean,max_mean,min_pval,min_pval,min_pval,min_pval,min_pval_winmax,min_pval_winmax,min_pval_winmax,min_pval_winmax
,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult,mean,std,pval,mult
dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data2_0,0.87967339,0.0266309550881,0.603281341465,1.25,0.87967339,0.0266309550881,0.603281341465,1.25,0.87967339,0.0266309550881,0.603281341465,1.25,0.88168017,0.0273563535762,0.51173996011,1.25,0.88168017,0.0273563535762,0.51173996011,1.25,0.88168017,0.0273563535762,0.51173996011,1.25,0.877828395,0.0254298680275,0.686172124055,1.25,0.877828395,0.0254298680275,0.686172124055,1.25,0.877828395,0.0254298680275,0.686172124055,1.25,0.874933755,0.0269745990797,0.788668658727,1.25,0.874933755,0.0269745990797,0.788668658727,1.25,0.874933755,0.0269745990797,0.788668658727,1.25,0.879645445,0.0245625907824,0.608381677274,1.5,0.879645445,0.0245625907824,0.608381677274,1.5,0.876841025,0.0258138941003,0.724727273204,1.25,0.875808555,0.0249265722861,0.766854127243,1.75,0.875808555,0.0249265722861,0.766854127243,1.75,0.874230025,0.0286813915946,0.803743222606,1.25
data2_1,0.739759865,0.0640838761029,0.999722073542,1.25,0.739759865,0.0640838761029,0.999722073542,1.25,0.71844558,0.0393363911019,0.999999996462,2.75,0.80982276,0.0310576644023,0.198777147656,1.75,0.80982276,0.0310576644023,0.198777147656,1.75,0.804788995,0.0363655578891,0.381825632737,3.5,0.771046695,0.030519416618,0.998666083957,4.5,0.771046695,0.030519416618,0.998666083957,4.5,0.76642927,0.0279076799433,0.999790015453,5.0,0.769287865,0.0249050987397,0.999684820492,4.5,0.76897562,0.0297017986104,0.999362364546,4.25,0.769287865,0.0249050987397,0.999684820492,4.5,0.774093875,0.0298232359233,0.997133343063,4.0,0.774093875,0.0298232359233,0.997133343063,4.0,0.76981417,0.0276888319603,0.999408318385,5.25,0.77416211,0.030827025231,0.99667826001,4.5,0.759174995,0.062372364854,0.99474626104,1.25,0.77340056,0.028809096633,0.997942247891,5.5
data2_10,0.986614785,0.0208132503071,0.590592129147,1.25,0.986614785,0.0208132503071,0.590592129147,1.25,0.986614785,0.0208132503071,0.590592129147,1.25,0.990509715,0.0185760520378,0.35351666848,1.5,0.990509715,0.0185760520378,0.35351666848,1.5,0.98917984,0.0183895803861,0.434102423889,1.25,0.985754285,0.0246678429418,0.628134499306,1.25,0.985754285,0.0246678429418,0.628134499306,1.25,0.98395093,0.021436294342,0.732032161313,6.5,0.986853585,0.0227230277895,0.573220682881,1.25,0.986853585,0.0227230277895,0.573220682881,1.25,0.983382745,0.0240432445531,0.745494984763,3.25,0.98610013,0.0253336853732,0.608415643766,1.25,0.98610013,0.0253336853732,0.608415643766,1.25,0.98610013,0.0253336853732,0.608415643766,1.25,0.98703887,0.0234581303027,0.561678885869,1.25,0.98703887,0.0234581303027,0.561678885869,1.25,0.982114635,0.0229755487291,0.804080898637,4.25
data2_12,0.66473213,0.207394780093,0.390085381684,3.0,0.66473213,0.207394780093,0.390085381684,3.0,0.64188987,0.167820891439,0.543183547654,5.75,0.64427084,0.208150588398,0.522901863276,1.5,0.64427084,0.208150588398,0.522901863276,1.5,0.6125,0.195098193598,0.725728315268,7.5,0.6328869,0.163464681677,0.609468146687,1.75,0.6328869,0.163464681677,0.609468146687,1.75,0.63169643,0.179907991995,0.612640053413,2.0,0.66264881,0.168951061302,0.392209618511,2.0,0.66264881,0.168951061302,0.392209618511,2.0,0.60944941,0.185534453842,0.748480865681,3.0,0.661383935,0.200526431,0.409625823198,2.25,0.661383935,0.200526431,0.409625823198,2.25,0.62760417,0.208751300136,0.629442744887,7.0,0.65758929,0.212780312432,0.436765095275,5.25,0.65758929,0.212780312432,0.436765095275,5.25,0.63236608,0.193413505416,0.604030712521,9.25
data2_14,0.875,0.206792547967,0.0911334264285,3.0,0.875,0.206792547967,0.0911334264285,3.0,0.875,0.206792547967,0.0911334264285,3.0,0.8125,0.179087599853,0.316796513981,2.0,0.8125,0.179087599853,0.316796513981,2.0,0.775,0.213060406557,0.535369180884,2.25,0.8625,0.189788663629,0.11478298396,2.0,0.8625,0.189788663629,0.11478298396,2.0,0.8375,0.186289955093,0.199824316167,2.5,0.8375,0.218773494979,0.215966691265,1.75,0.8375,0.218773494979,0.215966691265,1.75,0.8,0.208377188367,0.393993019561,2.0,0.8375,0.167705098312,0.190755773011,9.5,0.8375,0.167705098312,0.190755773011,9.5,0.825,0.183173774266,0.254414345632,5.25,0.8625,0.189788663629,0.11478298396,1.75,0.8625,0.151201329707,0.0972671288284,5.5,0.8125,0.159666593415,0.30992096554,7.0
data2_16_1,0.987410475,0.0262996847492,0.17863482741,1.25,0.987410475,0.0262996847492,0.17863482741,1.25,0.981565235,0.0271871586112,0.328038353674,8.0,0.98771375,0.0258928928568,0.171551731447,1.5,0.98771375,0.0258928928568,0.171551731447,1.5,0.986045955,0.026503582074,0.209033794116,2.0,0.9865078,0.0264044706355,0.198353332012,1.75,0.9865078,0.0264044706355,0.198353332012,1.75,0.98369462,0.0278384110095,0.269860669467,3.0,0.987823595,0.0256682539774,0.168869593899,1.25,0.987823595,0.0256682539774,0.168869593899,1.25,0.98431125,0.0274558331217,0.253124249991,2.25,0.9870718,0.0264334332866,0.186071556934,1.5,0.9870718,0.0264334332866,0.186071556934,1.5,0.9855829,0.026944528294,0.22074776968,2.75,0.98623225,0.0263870896819,0.204532534232,1.75,0.98623225,0.0263870896819,0.204532534232,1.75,0.984236685,0.0305476676109,0.260922806997,1.25
data2_19_0,0.97185144,0.0474892194556,0.521544429136,1.25,0.97185144,0.0474892194556,0.521544429136,1.25,0.96809903,0.0501137748331,0.615855391479,2.25,0.98163889,0.0220448445857,0.223781182541,2.0,0.98163889,0.0220448445857,0.223781182541,2.0,0.97941546,0.0228173452819,0.284619311029,2.25,0.983537425,0.0214027047688,0.178187509686,1.25,0.983537425,0.0214027047688,0.178187509686,1.25,0.983537425,0.0214027047688,0.178187509686,1.25,0.986399765,0.0178887339306,0.117531482668,1.25,0.986399765,0.0178887339306,0.117531482668,1.25,0.986399765,0.0178887339306,0.117531482668,1.25,0.98152173,0.0239176727106,0.23006416461,1.25,0.98152173,0.0239176727106,0.23006416461,1.25,0.9734674,0.0246081463997,0.473361602988,2.5,0.982532605,0.0253372249612,0.208279382871,1.25,0.982532605,0.0253372249612,0.208279382871,1.25,0.982532605,0.0253372249612,0.208279382871,1.25
