dataset,mean,std
data2_0,0.75058998,0.0281485268445
data2_1,0.66463646,0.0538778940265
data2_10,0.928690425,0.0501994596937
data2_12,0.422563135,0.239103047176
data2_14,0.777083345,0.259425734297
data2_16_1,0.80292154,0.0683265225921
data2_19_0,0.553697685,0.150784308919
data2_19_1,0.582411315,0.172773263119
data2_19_2,0.62730703,0.182379668126
data2_2,0.524970655,0.0327864691831
data2_26,0.882777785,0.169851629599
data2_27,0.704687495,0.16706805651
data2_28,0.9041317,0.101841257167
data2_29,0.737767855,0.153916806692
data2_3,0.804163475,0.0720809371998
data2_30,0.75588919,0.14544434667
data2_31,0.661130155,0.167829803722
data2_32,0.76785713,0.15141247311
data2_33,0.682893525,0.131932678719
data2_34,0.590616175,0.1029463408
data2_35,0.69093411,0.0718427904619
data2_36,0.90551522,0.0685265866414
data2_37,0.63559113,0.108688467861
data2_39,0.802523915,0.138175266691
data2_4,0.871103615,0.0468676949688
data2_40,0.779696965,0.147403060988
data2_41,0.743205255,0.171402399093
data2_42,0.6872172,0.282558388991
data2_43,0.82473484,0.188087731515
data2_44,0.918981477778,0.170669533713
data2_45,0.3980015,0.328963584826
data2_46,0.775928035,0.0927091545907
data2_48,0.48452382,0.356840229131
data2_49,0.73869551,0.258181301554
data2_5,0.039050745,0.0072718186704
data2_51,0.944226195,0.0521178360533
data2_52,0.88673588,0.0763398689585
data2_54,1.0,0.0
data2_55,0.94360119,0.0730131439808
data2_56,0.94461309,0.108251447533
data2_59,0.65405637,0.0935229069245
data2_6,0.886530455,0.0412832678887
data2_63,0.84290731,0.0568065530252
data2_64,0.782166295,0.0985532529286
data2_66,0.91532148,0.0185856725156
data2_68,0.86468751,0.0969171559509
data2_70,0.47100403,0.149601013574
data2_72,0.98771475,0.0218704314992
data2_73,0.96353907,0.0523923018709
data2_74,0.98383269,0.0220528782623
data2_75,0.930702285,0.0585515665209
data2_76,0.567961395,0.14286344493
data2_77,0.574850025,0.114701373076
data2_78,0.881535215,0.0690049643877
data2_79,0.97268519,0.0562998280639
data2_8,0.840075745,0.113539214432
data2_80,0.955313395,0.0811074914757
data2_81,0.79071226,0.175813141548
data2_82,0.932781345,0.123262749268
data2_83,0.89040955,0.151789818555
data2_84,0.7463141,0.184065392066
data2_85,0.71883903,0.182104658068
data2_86,0.775224375,0.241943900233
data2_87,0.876912395,0.124194877813
data2_88,0.84940172,0.155319402616
data2_89,0.811520655,0.25238802198
data2_9,0.840075745,0.113539214432
data2_90,0.72485746,0.0575687403963
data2_91,0.797862985,0.0753189903823
data2_92,0.81977095,0.0624089028908
data2_93,0.942083335,0.0680847876723
data2_94,0.93027778,0.0908619231863
data2_95,0.941874995,0.123103112069
data_art_000,0.335853595,0.16037266531
data_art_001,0.32247539,0.210134067954
data_art_002,0.38609493,0.142777132385
data_art_003,0.529289435,0.243192967893
data_art_004,0.542989075,0.057484972581
data_art_005,0.332598655,0.235963082359
data_art_006,0.298300745,0.198312505682
data_art_007,0.306873435,0.213354919177
data_art_008,0.13827066,0.204827900299
data_art_009,0.484996855,0.12155580274
data_art_010,0.523391595,0.180600664467
data_art_011,0.434644585,0.117742257108
data_art_012,0.34189994,0.157356121773
data_art_013,0.489419195,0.334767917957
data_art_014,0.34685155,0.191278418718
data_art_015,0.34039831,0.285520724122
data_art_016,0.288166415,0.174093085236
data_art_017,0.313438645,0.253469553938
data_art_018,0.267733055,0.251327141104
data_art_019,0.675611635,0.0908024597463
data_art_020,0.218302985,0.21973788162
data_art_021,0.445684125,0.117400592151
data_art_022,0.46194863,0.143854587104
data_art_023,0.45759341,0.173883646994
data_art_024,0.25888376,0.285635911475
data_art_025,0.17155439,0.132114287912
data_art_026,0.595121015,0.115227059395
data_art_027,0.468704115,0.140411780733
data_art_028,0.20660663,0.223475269746
data_art_029,0.36862978,0.24520679294
data_art_031,0.33027527,0.150434291082
data_art_032,0.370661015,0.177049409432
data_art_033,0.43427934,0.156957219899
data_art_034,0.224940455,0.226496461864
data_art_035,0.246147085,0.165482456089
data_art_036,0.363303575,0.293040147472
data_art_037,0.26296129,0.157547988777
data_art_038,0.1504083,0.222841806038
data_art_039,0.558292825,0.198112325739
data_art_040,0.343654125,0.207419728691
data_art_041,0.2633252375,0.338972068849
data_art_042,0.17478556,0.216727970212
data_art_043,0.278497485,0.284314994803
data_art_045,0.24422439,0.109093856877
data_art_046,0.44016099,0.181897944867
data_art_047,0.306424005,0.219981395768
data_art_048,0.29918303,0.325939656248
data_art_049,0.278375075,0.152488126412
data_art_050,0.37571971,0.288065193851
data_art_051,0.71194431,0.0820181208857
data_art_052,0.313459985,0.114859141151
data_art_053,0.4537005,0.126596001315
data_art_054,0.412655395,0.191908526184
data_art_055,0.38902077,0.1640814629
data_art_056,0.440749795,0.147444783802
data_art_057,0.470422615,0.18488825538
data_art_058,0.111054421429,0.193469169341
data_art_060,0.21384032,0.23002053623
data_art_061,0.71230654,0.249371011633
data_art_062,0.298398815,0.184388464581
data_art_063,0.233333335,0.211838925002
data_art_064,0.307967955,0.22704772393
data_art_065,0.457859735,0.211244156212
data_art_067,0.24089358,0.261997323943
data_art_068,0.36608227,0.209039791645
data_art_069,0.347628795,0.137949611943
data_art_070,0.27452381,0.184829671111
data_art_071,0.41012151,0.177226994763
data_art_072,0.500567605,0.183262399626
data_art_073,0.291800585,0.165292377915
data_art_074,0.475551435,0.11976009877
data_art_075,0.57659091,0.267404767733
data_art_076,0.1496795,0.246866805886
data_art_077,0.501565725,0.115012188874
data_art_078,0.250836545,0.276768561651
data_art_079,0.389516005,0.133730049966
data_art_080,0.298062325,0.136336091953
data_art_081,0.310294942105,0.313705150013
data_art_082,0.24267856,0.26287684143
data_art_083,0.49228221,0.168944953768
data_art_084,0.447497095,0.315401612883
data_art_090,0.457212335,0.0932386607166
data_art_091,0.434091485,0.0903382878534
data_art_092,0.483444005,0.117464323123
data_art_093,0.454867695,0.238084250831
data_art_094,0.480892855,0.235852555136
data_art_095,0.456254815,0.139140029575
data_art_096,0.379562905,0.137157116389
data_art_097,0.37252366,0.230131384943
data_art_098,0.4367933,0.0962899479113
data_art_099,0.359150355,0.296355434548
data_art_100,0.48438066,0.245482487428
data_art_101,0.367769515,0.301021190879
data_art_102,0.3006579,0.29091718864
data_art_103,0.320714495,0.256881049128
data_art_104,0.39596613,0.313388483035
data_art_105,0.204442535,0.30146335578
data_art_106,0.3646374,0.168298322029
data_art_107,0.39994951,0.24165631738
data_art_108,0.095747565,0.144992987498
data_art_109,0.244021725,0.228736111058
data_art_110,0.299439764706,0.366069768166
data_art_111,0.40053967,0.126616510889
data_art_112,0.287273805,0.208848588316
data_art_113,0.219233225,0.191658879429
data_art_114,0.310028365,0.2675942362
data_art_115,0.195707075,0.186832057042
data_art_116,0.30606685,0.0997549768969
data_art_117,0.40848485,0.335433533772
data_art_118,0.15904352,0.191765511717
data_art_119,0.278333305,0.370123270907
data_art_120,0.322323235,0.285156488223
data_art_121,0.129710175,0.25845152707
data_art_122,0.2541273,0.144371764204
data_art_123,0.463435735,0.0922179716002
data_art_124,0.37313322,0.107066739991
data_art_125,0.505167395,0.125951993311
data_art_126,0.176889255,0.116532061738
data_art_127,0.255854885,0.146060769085
data_art_128,0.386657645,0.224106774066
data_art_129,0.457030495,0.251333890574
data_art_130,0.359041285,0.180636919685
data_art_131,0.452339575,0.093664213467
data_art_132,0.083374155,0.134336448272
data_art_133,0.092326675,0.16634844121
data_art_134,0.26716667,0.283204874939
data_art_135,0.361553425,0.122462015737
data_art_136,0.392046945,0.117913591159
data_art_138,0.494010455,0.144896437334
data_art_139,0.326388866667,0.338796328096
data_art_140,0.39396796,0.208557075844
data_art_141,0.38611013,0.264715646545
data_art_142,0.383884815,0.181391001554
data_art_143,0.379399855,0.199907385012
data_art_144,0.21154451,0.122626815731
data_art_145,0.37020962,0.145441628027
data_art_146,0.652276785,0.196773966572
data_art_147,0.369677385,0.133207504393
data_art_148,0.348310975,0.254790190498
data_art_149,0.38191877,0.137281304724
data_art_150,0.174436835,0.176641084665
data_art_151,0.440979375,0.142524478634
data_art_152,0.37238325,0.128110600434
data_art_153,0.592020215,0.214313897117
data_art_154,0.276493265,0.230475036339
data_art_155,0.43889448,0.183863794066
data_art_156,0.29264881,0.15326832765
data_art_157,0.32848943,0.268817209842
data_art_158,0.49846425,0.127054154157
data_art_159,0.2021789,0.107582117659
data_art_160,0.331252915,0.245620865062
data_art_161,0.25095278,0.151469614565
data_art_162,0.442036045,0.09281701439
data_art_163,0.095866115,0.137407679506
data_art_164,0.594360115,0.204174186508
data_art_165,0.225,0.253546276419
data_art_166,0.265918515,0.230458118462
data_art_167,0.135577715,0.191064686611
data_art_169,0.248282975,0.259367792297
data_art_170,0.372874355,0.145849896918
data_art_171,0.33093434,0.24530376042
data_art_172,0.42408438,0.13833655462
data_art_173,0.20700058,0.169440215391
data_art_174,0.6382551,0.224697908577
data_art_175,0.462380955,0.153736427112
data_art_176,0.316354565,0.319694583255
data_art_177,0.30134966,0.164280585265
data_art_178,0.41922951,0.0946205054151
data_art_179,0.41948828,0.195065516415
data_art_180,0.424225425,0.20120532459
data_art_181,0.55415623,0.134723526445
data_art_182,0.49810711,0.127209589281
data_art_183,0.14212415,0.126594732941
data_art_184,0.277603385,0.22430408146
data_art_185,0.270039666667,0.31292702888
data_art_186,0.33588604,0.147432544898
data_art_187,0.26104995,0.119500163848
data_art_188,0.46391563,0.119538342783
data_art_189,0.38123765,0.359417961276
data_art_190,0.472692035,0.142789965963
data_art_191,0.46456227,0.259354896492
data_art_192,0.281356835,0.234722328516
data_art_193,0.3432332,0.117932245191
data_art_194,0.1833333,0.235081172991
data_art_195,0.210761945,0.25198113499
data_art_196,0.45091323,0.139917914569
data_art_197,0.367237055,0.132245219515
data_art_198,0.484936065,0.130019861802
data_art_199,0.236948725,0.258467192939
data_art_200,0.412633005,0.117394847969
data_art_201,0.284864045,0.276960706045
data_art_202,0.480973135,0.164068981635
data_art_203,0.46778161,0.26408665966
data_art_205,0.271425425,0.276711703392
data_art_206,0.40473213,0.184402017397
data_art_207,0.286681555,0.300021346205
data_art_208,0.423774955,0.118515249001
data_art_209,0.471389275,0.0884177475091
data_art_210,0.242403855,0.226518118862
data_art_211,0.21172757,0.194425727171
data_art_212,0.472805615,0.0938375883935
data_art_213,0.46347119,0.217561273226
data_art_214,0.57400059,0.268933913184
data_art_215,0.157388545,0.12169563989
data_art_216,0.299925595,0.224184412827
data_art_217,0.53409217,0.137183992065
data_art_218,0.2516108,0.187494154399
data_art_219,0.22829698,0.264173362558
data_art_220,0.330670885,0.147040962899
data_art_221,0.31422528,0.108949603931
data_art_222,0.219399525,0.146776713998
data_art_223,0.38147895,0.186744562046
data_art_224,0.42221174,0.159264409133
data_art_225,0.342948707692,0.366800351455
data_art_226,0.186035235,0.255308760306
data_art_227,0.163875618182,0.233721093964
data_art_228,0.410833335,0.330172515189
data_art_229,0.736983395,0.104572801531
data_art_230,0.377564092308,0.291428680771
data_art_231,0.461085855,0.264077820076
data_art_232,0.297744695,0.129814525741
data_art_233,0.341716165,0.208715472814
data_art_234,0.360262785,0.168517021365
data_art_235,0.412128365,0.0946239615589
data_art_236,0.318387182353,0.335339705737
data_art_237,0.39052084,0.266344319643
data_art_238,0.12129117,0.117903202502
data_art_239,0.431199925,0.240459509358
data_art_240,0.472858185,0.265153250978
data_art_241,0.41216797,0.152160280263
data_art_242,0.493775665,0.213946195302
data_art_243,0.35102131,0.137731837556
data_art_244,0.44578082,0.160963635868
data_art_245,0.44094841,0.134216157477
data_art_246,0.22317301,0.178035891872
data_art_247,0.56780636,0.17003068032
data_art_248,0.60554093,0.0979432507576
data_art_249,0.301709815,0.135544264438
data_art_250,0.44578542,0.128986280456
data_art_251,0.41208648,0.0970586368485
data_art_252,0.533926555,0.0799524263522
data_art_253,0.279935055,0.191221620358
data_art_254,0.33561656,0.216479509848
data_art_255,0.550452345,0.12096237846
data_art_256,0.10563607,0.16281956954
data_art_257,0.20992267,0.175101704377
data_art_258,0.25405222,0.265298844321
data_art_259,0.3186298,0.226746972514
data_art_260,0.352370205,0.169845803188
data_art_261,0.15412727,0.188128523641
data_art_262,0.21931531,0.147768745458
data_art_263,0.28420708,0.215764177125
data_art_264,0.32124998,0.270074800569
data_art_265,0.56281117,0.129744104311
data_art_266,0.2951576,0.150373496361
data_art_267,0.302290125,0.18966882082
data_art_268,0.285484,0.177273304611
data_art_269,0.61350622,0.10762882745
data_art_270,0.138962745,0.232127353173
data_art_271,0.309965045,0.265780773989
data_art_272,0.445419005,0.167149683428
data_art_273,0.621870325,0.150403154656
data_art_274,0.423526785,0.21777960941
data_art_275,0.445839865,0.133404608829
data_art_276,0.07133453,0.0867473150397
data_art_277,0.382648795,0.223105448557
data_art_278,0.178215285,0.197351839894
data_art_279,0.361979155,0.177126928404
data_art_280,0.3655665,0.248465987093
data_art_281,0.26626465,0.151838297932
data_art_282,0.56491238,0.154952628989
data_art_283,0.244017855,0.130351387554
data_art_284,0.396629835,0.18516980259
data_art_285,0.2151065,0.185396626297
data_art_286,0.33563248,0.148913614606
data_art_287,0.345140605,0.122766731774
data_art_288,0.154402565,0.195121631344
data_art_289,0.31506264,0.156868778093
data_art_290,0.50833266,0.175722073827
data_art_291,0.473058605,0.236618421715
data_art_292,0.539446655,0.143740956141
data_art_294,0.38984261,0.138766999438
data_art_295,0.27579219,0.237012978601
data_art_296,0.607089175,0.203974305317
data_art_297,0.51186869,0.343495808415
data_art_298,0.232981075,0.162799566388
data_art_299,0.38896602,0.0972918298025
data_art_300,0.35910714,0.314492207128
data_art_301,0.374526515,0.242721171321
data_art_302,0.617264255,0.148167220216
data_art_303,0.407369145,0.139281419534
data_art_304,0.45355478,0.304929342245
data_art_305,0.229249605,0.189465453554
data_art_306,0.206582657143,0.248442666778
data_art_307,0.42742713,0.175621918915
data_art_308,0.587827375,0.231520796267
data_art_309,0.189590975,0.226079893289
data_art_310,0.75202257,0.101395590843
data_art_311,0.3896234,0.339614490356
data_art_312,0.269542605,0.319893787718
data_art_313,0.310677505,0.216539537646
data_art_314,0.18815745,0.150819522877
data_art_315,0.30003332,0.232420165128
data_art_316,0.75288555,0.077767421214
data_art_317,0.353606285,0.118477853175
data_art_318,0.31845888,0.243658953141
data_art_319,0.162139885,0.158131503885
data_art_320,0.25154763,0.249483412191
data_art_321,0.505350835,0.129090428378
data_art_322,0.1731879,0.234335322478
data_art_323,0.29165797,0.150402430159
data_art_360,0.189184015,0.24592612952
data_art_361,0.431901025,0.104607419156
data_art_362,0.49301114,0.195939437691
data_art_363,0.25298502,0.0881284996323
data_art_364,0.221605255,0.168438538103
data_art_365,0.26848685,0.196808518846
data_art_366,0.38976711,0.147776415248
data_art_367,0.41074733,0.112511440797
data_art_368,0.64245817,0.155148724087
data_art_369,0.42048839,0.160046736556
data_art_370,0.332371815,0.324027779503
data_art_371,0.23691724,0.238554991487
data_art_372,0.42894382,0.11099543252
data_art_373,0.3015024,0.12261171265
data_art_374,0.179620935,0.201561541028
data_art_375,0.15659714,0.191757584803
data_art_376,0.46655601,0.111339020485
data_art_377,0.33981155,0.200738343823
data_art_378,0.501542565,0.204753561876
data_art_379,0.426034785,0.176089363451
data_art_380,0.22907891,0.147420517487
data_art_381,0.32528642,0.216201200924
data_art_382,0.606871305,0.164046190897
data_art_383,0.330094245,0.148637064346
data_art_384,0.290954185,0.128358027626
data_art_385,0.534066205,0.104266630334
data_art_386,0.49801572,0.107281299032
data_art_387,0.29673175,0.172384638219
data_art_388,0.49558034,0.108403749454
data_art_389,0.361672935,0.287763365332
data_art_390,0.21856618,0.147440466913
data_art_391,0.24475848,0.119655644271
data_art_392,0.42917965,0.110730388375
data_art_393,0.305094405,0.147482768359
data_art_394,0.68676877,0.198761863435
data_art_395,0.55943941,0.124413082951
data_art_396,0.27572421,0.137035344352
data_art_397,0.64784907,0.152448081833
data_art_398,0.520059535,0.174749519053
data_art_399,0.220197285,0.162115594394
data_art_400,0.408624215,0.0892310650938
data_art_401,0.36376264,0.266182033144
data_art_402,0.191544875,0.186882675202
data_art_403,0.338862745,0.177408267506
data_art_404,0.26784402,0.182161151635
data_art_405,0.37902186,0.154293763416
data_art_406,0.363874185,0.0914298444301
data_art_408,0.41933036,0.186539475432
data_art_409,0.39034149,0.238636329035
data_art_410,0.584758395,0.171068795664
data_art_411,0.388144835,0.130159724807
data_art_412,0.336639065,0.134724000772
data_art_413,0.319804485,0.209113927504
data_art_414,0.15620423,0.231103616555
data_art_415,0.2331399,0.218193571543
data_art_416,0.39431914,0.166289134583
data_art_417,0.528966765,0.112928664785
data_art_418,0.478005055,0.300762804187
data_art_419,0.31261832,0.160164002913
data_art_420,0.296881015,0.163925097589
data_art_421,0.430017185,0.161353636932
data_art_422,0.29967295,0.125191196232
data_art_423,0.333884905,0.199959792208
data_art_424,0.486969705,0.210847481395
data_art_425,0.512476,0.11804473592
data_art_426,0.319429555,0.182088445919
data_art_427,0.166749635,0.231674829113
data_art_428,0.482148945,0.124276630082
data_art_429,0.380923055,0.328212557984
data_art_430,0.399470185,0.144285196738
data_art_431,0.458658485,0.175316792324
data_art_432,0.375668458824,0.38242625829
data_art_433,0.656462415,0.104099201941
data_art_434,0.33959821,0.218090199124
data_art_435,0.166024395,0.246480780284
data_art_436,0.44000785,0.126189131861
data_art_437,0.50486292,0.170304203316
data_art_438,0.21039874,0.17520531409
data_art_439,0.31479949,0.175030098188
data_art_440,0.48142566,0.224038686528
data_art_441,0.35300835,0.193238929312
data_art_443,0.437083335,0.226813087095
data_art_444,0.31852868,0.275083797769
data_art_445,0.239409995,0.268564973764
data_art_446,0.19359738,0.256835316634
data_art_447,0.152628595,0.173625682799
data_art_448,0.799743425,0.0829690519165
data_art_449,0.4783754,0.102887839686
data_art_450,0.14781838,0.121046756977
data_art_451,0.47195266,0.0899943006744
data_art_452,0.31507576,0.279744809507
data_art_453,0.603467135,0.141369675109
data_art_454,0.55333862,0.126073560633
data_art_455,0.61896465,0.30408418418
data_art_456,0.48087455,0.136085327625
data_art_457,0.31928322,0.341336529929
data_art_459,0.614017585,0.155805155897
data_art_460,0.426879935,0.308473788263
data_art_461,0.145146765,0.206471029391
data_art_462,0.322417161111,0.275978421667
data_art_464,0.452439645,0.123879926077
data_art_465,0.40588155,0.160061830063
data_art_466,0.35964453,0.250904016066
data_art_467,0.39545399,0.134406731584
data_art_468,0.30812657,0.194386326627
data_art_469,0.61852056,0.12560506267
data_art_470,0.37101397,0.256899609595
data_art_471,0.41632936,0.27827264354
data_art_472,0.67101191,0.226652982638
data_art_473,0.18081016,0.206628557491
data_art_474,0.044305325,0.07574459111
data_art_475,0.141750685,0.233539054152
data_art_477,0.22402593,0.248334796952
data_art_478,0.33675586,0.179221984218
data_art_479,0.217287565,0.195681076387
data_art_480,0.32894738125,0.333458987644
data_art_481,0.355438595,0.173422797346
data_art_482,0.20401516,0.266532038336
data_art_483,0.4825,0.319011400372
data_art_484,0.21316863,0.202241774153
data_art_485,0.35364907,0.156525251997
data_art_486,0.30989975,0.2892894773
data_art_487,0.50238743,0.106712365132
data_art_488,0.20899607,0.229096711028
data_art_489,0.13569828,0.16586304368
data_art_490,0.74619602,0.134769976332
data_art_491,0.481919655,0.282552015615
data_art_492,0.372232145,0.306375027039
data_art_493,0.441458335,0.253961577482
data_art_494,0.230526245,0.169319654778
data_art_495,0.37343196,0.0792374200931
data_art_496,0.374953715,0.112490885329
data_art_497,0.298333355,0.270866292826
data_art_498,0.3188889,0.30144237439
data_art_499,0.462949015,0.0752757884857
data_art_500,0.6415003,0.128636873549
data_art_501,0.55685416,0.121667206461
data_art_502,0.469840395,0.137653702175
data_art_503,0.376557695,0.143890635086
data_art_504,0.414065015,0.215202444573
data_art_505,0.31915905,0.158984893013
data_art_506,0.30756019,0.120037495526
data_art_507,0.455991545,0.212744350596
data_art_508,0.247617535,0.150951627931
data_art_509,0.363383835,0.217697873249
data_art_510,0.63140878,0.145731972047
data_art_511,0.377688105,0.12078952968
data_art_512,0.310439531579,0.313815433603
data_art_513,0.375863095,0.107668171377
data_art_514,0.313063915,0.239737684488
data_art_515,0.26074406,0.260736046006
data_art_516,0.55325833,0.172776079388
data_art_517,0.273903505263,0.309622845558
data_art_518,0.26987318,0.181578025016
data_art_519,0.522453365,0.237162950057
data_art_520,0.192503905,0.116462295352
data_art_521,0.34405552,0.138885026956
data_art_522,0.468829705,0.165531806861
data_art_523,0.440025505,0.164618262986
data_art_524,0.51833687,0.104286315953
data_art_525,0.46868859,0.252492343966
data_art_526,0.39660562,0.145416926328
data_art_527,0.409996645,0.119609789535
data_art_528,0.360403595,0.243560833482
data_art_529,0.38441726,0.287076995195
data_art_530,0.18196472,0.250099372963
data_art_531,0.25703634,0.309717043442
data_art_532,0.535028995,0.174768641494
data_art_533,0.13233661,0.160177812525
data_art_534,0.33952022,0.326821132453
data_art_535,0.356425985,0.183506602948
data_art_536,0.48683314,0.121223690585
data_art_537,0.38056044,0.227001406122
data_art_538,0.49285817,0.206220086941
data_art_539,0.262510375,0.144127151691
data_art_541,0.27789535,0.231441726689
data_art_542,0.38080808,0.215013933497
data_art_543,0.561743625,0.134392405124
data_art_544,0.63103032,0.129070002109
data_art_545,0.52322714,0.0961650539946
data_art_546,0.48839285,0.244680813796
data_art_547,0.33470875,0.174559248692
data_art_548,0.335461535,0.277519471517
data_art_549,0.472639185,0.0913657847811
data_art_551,0.493303575,0.192357811894
data_art_552,0.179561395,0.260055711368
data_art_553,0.307633165,0.217712600829
data_art_554,0.224520685,0.22799062377
data_art_555,0.507491515,0.0891489776991
data_art_556,0.35348576,0.14790951655
data_art_557,0.4942542,0.33141610892
data_art_558,0.23664162,0.243890427563
data_art_559,0.233720355,0.28602863516
data_art_560,0.30637686,0.10339609508
data_art_561,0.435417685,0.135487931001
data_art_562,0.33837798,0.243757397891
data_art_563,0.537225315,0.131028754316
data_art_564,0.488613045,0.265273087349
data_art_565,0.356902327778,0.348539489692
data_art_566,0.3966463,0.136754810975
data_art_567,0.310267855,0.212397870864
data_art_568,0.61197253,0.144336272671
data_art_569,0.22348315,0.19872328551
data_art_570,0.32249576,0.123989564285
data_art_571,0.29746504,0.291547597834
data_art_572,0.48145595,0.121137764893
data_art_573,0.109144145,0.181210857138
data_art_574,0.19934526,0.246381381432
data_art_575,0.40943877,0.0926413252388
data_art_576,0.570268315,0.192914901946
data_art_577,0.297137047368,0.28730109815
data_art_578,0.31141438,0.2059277585
data_art_579,0.42125001,0.219416674571
data_art_580,0.227768188235,0.282558646206
data_art_581,0.472199335,0.108090185477
data_art_582,0.37814407,0.174213593415
data_art_583,0.65595571,0.270546508018
data_art_584,0.091252715,0.157578660348
data_art_585,0.28781043,0.14619114258
data_art_586,0.352632775,0.257402714943
data_art_587,0.41945012,0.134769539903
data_art_588,0.390251835,0.104024917734
data_art_589,0.08957828,0.207608727908
data_art_590,0.293084305,0.196161021887
data_art_591,0.393228845,0.11003862799
data_art_592,0.408548075,0.115436181567
data_art_593,0.64115519,0.0902802738956
data_art_594,0.29024267,0.220552195257
data_art_595,0.227566145,0.187474753087
data_art_596,0.47575796,0.106968269986
data_art_597,0.32757935,0.271081294909
