dataset,mean,std
data2_0,0.83308535,0.0351067433101
data2_1,0.69649634,0.0470535471625
data2_10,0.982552265,0.0335935468912
data2_12,0.54626624,0.19426537264
data2_14,0.77083334,0.268843903491
data2_16_1,0.95414691,0.064990797678
data2_19_0,0.907200235,0.126282268442
data2_19_1,0.92188425,0.070416227568
data2_19_2,0.93177701,0.0717905727349
data2_2,0.498020135,0.0468692913536
data2_26,0.919583345,0.120709237856
data2_27,0.95236111,0.0594839157554
data2_28,0.961944435,0.0533258764311
data2_29,0.91949207,0.102539990255
data2_3,0.699234835,0.138085843507
data2_30,0.988506945,0.0315571170266
data2_31,0.968579805,0.0368419327921
data2_32,0.93090277,0.0848041207884
data2_33,0.94888415,0.0451047723756
data2_34,0.67975297,0.107668620107
data2_35,0.990298295,0.0104754597017
data2_36,1.0,0.0
data2_37,0.65431498,0.156647695841
data2_39,0.90625,0.148510819304
data2_4,0.974310435,0.0214687376125
data2_40,0.82340458,0.189123058996
data2_41,0.835253415,0.15062633991
data2_42,0.740243215385,0.284907076735
data2_43,0.88666667,0.248009619296
data2_44,0.863425922222,0.326610455647
data2_45,0.430806947059,0.362698631897
data2_46,0.874173255,0.0989596683157
data2_48,0.72384921,0.277471639288
data2_49,0.751760525,0.219282282828
data2_5,0.039050745,0.0072718186704
data2_51,0.939960315,0.0681824461128
data2_52,0.91487248,0.0812707087855
data2_54,1.0,0.0
data2_55,0.97951389,0.0504545481306
data2_56,0.96794643,0.0848844720103
data2_59,0.6449554,0.101231479366
data2_6,0.97340027,0.0201205217341
data2_63,0.90298733,0.0551168988474
data2_64,0.915968975,0.139338249452
data2_66,0.94533889,0.0179010704755
data2_68,0.78279996,0.122789907211
data2_70,0.4465912,0.178264091617
data2_72,0.393892425,0.166601193447
data2_73,0.88950794,0.0926199627712
data2_74,0.64031784,0.0782769813186
data2_75,0.985679095,0.0180715870733
data2_76,0.6071208,0.123693040622
data2_77,0.599417635,0.115492603481
data2_78,0.94086808,0.0513611970908
data2_79,1.0,0.0
data2_8,0.91363635,0.0945441399992
data2_80,0.98846154,0.0516015618313
data2_81,0.99375,0.0279508497187
data2_82,1.0,0.0
data2_83,1.0,0.0
data2_84,0.992592595,0.0331269222337
data2_85,0.978044875,0.0590197613125
data2_86,1.0,0.0
data2_87,1.0,0.0
data2_88,1.0,0.0
data2_89,1.0,0.0
data2_9,0.92167613,0.0926497626677
data2_90,0.883988945,0.0474989646935
data2_91,0.8896063,0.060236857768
data2_92,0.88572007,0.0540429980219
data2_93,0.99375,0.0279508497187
data2_94,0.98607639,0.0344038556317
data2_95,0.977083335,0.0782144885604
data_art_000,0.51179596,0.17011588603
data_art_001,0.80134718,0.155505488949
data_art_002,0.731398185,0.160840550986
data_art_003,0.76241312,0.211050170758
data_art_004,0.87476594,0.0854657505159
data_art_005,0.76088106,0.277650964413
data_art_006,0.414737805,0.210973894136
data_art_007,0.43398155,0.25291699617
data_art_008,0.30760964,0.286394066991
data_art_009,0.58568407,0.140427867467
data_art_010,0.838513365,0.126100727602
data_art_011,0.61012089,0.148252705872
data_art_012,0.67454445,0.171841298334
data_art_013,0.89625,0.152020384713
data_art_014,0.667771715,0.24110685946
data_art_015,0.82870006,0.123447883973
data_art_016,0.67698282,0.139868628841
data_art_017,0.54094017,0.295980829327
data_art_018,0.4983689,0.297776006448
data_art_019,0.905702785,0.0646711707745
data_art_020,0.27275501,0.244682144278
data_art_021,0.873202925,0.0989546361462
data_art_022,0.880694225,0.0934016509502
data_art_023,0.722221765,0.12781936252
data_art_024,0.439568305,0.373060310595
data_art_025,0.267367685,0.206794974396
data_art_026,0.923932765,0.0616152391917
data_art_027,0.85543709,0.121257619408
data_art_028,0.301043185,0.255445198679
data_art_029,0.59298568,0.219132802441
data_art_031,0.580469705,0.17377684002
data_art_032,0.58566531,0.158549384744
data_art_033,0.61586599,0.192014985376
data_art_034,0.34214284,0.29967744594
data_art_035,0.712622485,0.16620503835
data_art_036,0.62898809,0.338435529705
data_art_037,0.466762915,0.171957712357
data_art_038,0.357070215,0.283356229331
data_art_039,0.827953225,0.188592387778
data_art_040,0.719167815,0.207347593051
data_art_041,0.22947106875,0.332949777192
data_art_042,0.423314955,0.315186520625
data_art_043,0.18280123,0.212248627344
data_art_045,0.47680746,0.183996210499
data_art_046,0.502017175,0.197320513706
data_art_047,0.61578947,0.218620486404
data_art_048,0.220098065,0.315136863496
data_art_049,0.429921545,0.183216918555
data_art_050,0.691489895,0.324842256526
data_art_051,0.936311535,0.0576456141755
data_art_052,0.51234524,0.140784649179
data_art_053,0.70193163,0.135299143194
data_art_054,0.63859943,0.212179909217
data_art_055,0.867518625,0.11550144153
data_art_056,0.90144896,0.0637324280108
data_art_057,0.88483379,0.136537603416
data_art_058,0.205017014286,0.281502142541
data_art_060,0.59567308,0.231365430871
data_art_061,0.770952375,0.354579449504
data_art_062,0.58664929,0.18026354279
data_art_063,0.40527778,0.260592526763
data_art_064,0.44534295,0.293991295597
