dataset,mean,std
data2_0,0.881937945,0.0276717639215
data2_1,0.801612145,0.0296124488313
data2_10,0.98813817,0.0209566364632
data2_12,0.647767845,0.17263599111
data2_14,0.78125,0.228967217833
data2_16_1,0.976064075,0.0474629255771
data2_19_0,0.972665455,0.047168992472
data2_19_1,0.97294687,0.0431912867279
data2_19_2,0.981840065,0.031284346763
data2_2,0.605850325,0.0556818577308
data2_26,0.91428571,0.125549280938
data2_27,0.96680872,0.0519853509175
data2_28,0.980671305,0.0291188048999
data2_29,0.94499999,0.0717329406335
data2_3,0.69916876,0.0994639843535
data2_30,0.995446425,0.0115941280707
data2_31,0.97820264,0.0321023059721
data2_32,0.96079546,0.0508386757485
data2_33,0.96993525,0.0320510266598
data2_34,0.785685645,0.0823542654396
data2_35,0.99420564,0.00931976511701
data2_36,1.0,0.0
data2_37,0.737296705,0.11429826245
data2_39,0.942876985,0.113061007857
data2_4,0.974761465,0.0216567302518
data2_40,0.863727685,0.139415721846
data2_41,0.859325395,0.132559411806
data2_42,0.833814107692,0.237587027012
data2_43,0.91388889,0.196397871719
data2_44,0.939613533333,0.173156558037
data2_45,0.708333335294,0.260380508242
data2_46,0.879910725,0.0937134352671
data2_48,0.845833335,0.178883396334
data2_49,0.84655798,0.159261041819
data2_5,0.379248775,0.0395028795628
data2_51,0.930416665,0.0831807808313
data2_52,0.91479979,0.0713887441998
data2_54,1.0,0.0
data2_55,0.98,0.0523148363781
data2_56,0.96833333,0.0812727759171
data2_59,0.636026775,0.0874790357021
data2_6,0.97287903,0.0213177485115
data2_63,0.9570392,0.0314048001375
data2_64,0.91275,0.117462537265
data2_66,0.953631555,0.0167417623154
data2_68,0.860248395,0.0796818214198
data2_70,0.567784095,0.129843651768
data2_72,0.66651257,0.0851770934659
data2_73,0.92379076,0.0799573015442
data2_74,0.78853208,0.0500882089048
data2_75,0.99453217,0.00632269673903
data2_76,0.79846431,0.0645943126307
data2_77,0.794041875,0.0755136682143
data2_78,0.972904825,0.0296740927047
data2_79,1.0,0.0
data2_8,0.910615075,0.104611475378
data2_80,0.9875,0.0559016994375
data2_81,0.998958335,0.00465846749956
data2_82,1.0,0.0
data2_83,1.0,0.0
data2_84,0.991666665,0.0372678070786
data2_85,0.9859375,0.0557661734401
data2_86,1.0,0.0
data2_87,1.0,0.0
data2_88,1.0,0.0
data2_89,1.0,0.0
data2_9,0.921527775,0.104965411753
data2_90,0.92544445,0.0327907109186
data2_91,0.9365,0.034362802187
data2_92,0.937388895,0.0308747814528
data2_93,0.995833335,0.0186338923589
data2_94,0.983125,0.0433112892648
data2_95,0.99017857,0.0314540894781
data_art_000,0.68935975,0.0927977853729
data_art_001,0.92794117,0.0668580894071
data_art_002,0.834914835,0.109043898515
data_art_003,0.868115385,0.117458187387
data_art_004,0.921088615,0.050698276969
data_art_005,0.851514715,0.165542125644
data_art_006,0.638382085,0.121731002156
data_art_007,0.670465685,0.169238741865
data_art_008,0.54685671,0.165865890259
data_art_009,0.730379575,0.0959093178023
data_art_010,0.905908615,0.0949092319059
data_art_011,0.727250535,0.109146361443
data_art_012,0.836944445,0.104348343869
data_art_013,0.92569444,0.114088844522
data_art_014,0.822153855,0.15037165737
data_art_015,0.844550435,0.123918533568
data_art_016,0.80339744,0.0976279963202
data_art_017,0.67223485,0.202277325723
data_art_018,0.720416665,0.19458307607
data_art_019,0.929375305,0.0499272708175
data_art_020,0.57522491,0.116999468705
data_art_021,0.910765095,0.0857240564274
data_art_022,0.92888021,0.0727365976007
data_art_023,0.824967105,0.0901796113294
data_art_024,0.63299632,0.237705982453
data_art_025,0.56001017,0.114587777155
data_art_026,0.93754761,0.0520253513807
data_art_027,0.93270833,0.065699030295
data_art_028,0.657594085,0.164820215808
data_art_029,0.729441385,0.13373473066
data_art_031,0.74884389,0.120239291191
data_art_032,0.74496049,0.0980416445607
data_art_033,0.72593614,0.110297797243
data_art_034,0.661363645,0.199606626385
data_art_035,0.838490125,0.0861466259547
data_art_036,0.76002747,0.240922147744
data_art_037,0.666547855,0.127163530854
data_art_038,0.61684524,0.176347307352
data_art_039,0.912967985,0.103769822111
data_art_040,0.81663102,0.124102510673
data_art_041,0.5548363125,0.207115701754
data_art_042,0.61322917,0.203481075582
data_art_043,0.48784722,0.219173101396
data_art_045,0.683838605,0.101871905014
data_art_046,0.640404405,0.131569761303
data_art_047,0.799777655,0.111793492045
data_art_048,0.532077195,0.192829395652
data_art_049,0.70951952,0.112995917119
data_art_050,0.79878472,0.224026607891
data_art_051,0.964371535,0.0395407596103
data_art_052,0.67239059,0.0807217557331
data_art_053,0.813606375,0.0829854742484
data_art_054,0.797234405,0.115793246716
data_art_055,0.921168575,0.0800513391801
data_art_056,0.94106771,0.0603204753162
data_art_057,0.92849703,0.0866721613302
data_art_058,0.507456842857,0.242466668354
data_art_060,0.689318185,0.1410847414
data_art_061,0.851510985,0.248776673385
data_art_062,0.72330555,0.103361502925
data_art_063,0.5995098,0.148488923478
data_art_064,0.65918972,0.174369846013
data_art_065,0.93996101,0.0740285538361
data_art_067,0.61464286,0.14312740835
data_art_068,0.788185115,0.116131109526
data_art_069,0.747173125,0.0830521768667
data_art_070,0.682440475,0.133522773319
data_art_071,0.93380256,0.0713339728034
data_art_072,0.73809066,0.139672113481
data_art_073,0.758743685,0.161112334216
data_art_074,0.90952601,0.0384300184929
data_art_075,0.9,0.139974739262
data_art_076,0.787673075,0.232053260365
data_art_077,0.935420935,0.0569218665845
data_art_078,0.692720695,0.163670067426
data_art_079,0.75594968,0.0916649028623
data_art_080,0.73413654,0.117789042233
data_art_081,0.577260457895,0.209964829506
data_art_082,0.60315934,0.204765606612
data_art_083,0.885316215,0.0688869861877
data_art_084,0.80977274,0.208091405293
data_art_090,0.721374415,0.0838694929774
data_art_091,0.816493315,0.0747153541339
data_art_092,0.82143182,0.0775640934249
data_art_093,0.915732695,0.0869540869148
data_art_094,0.67651515,0.184036678126
data_art_095,0.804288455,0.0802203195862
data_art_096,0.73535466,0.113735024717
data_art_097,0.645467035,0.127195150796
data_art_098,0.7386673,0.0866691866507
data_art_099,0.628492645,0.259188709483
data_art_100,0.887366445,0.103003007114
data_art_101,0.54863637,0.180401771117
data_art_102,0.55823585,0.208750013887
data_art_103,0.80785099,0.142781886924
data_art_104,0.58797349,0.186010920735
data_art_105,0.490097415,0.102917387434
data_art_106,0.77867337,0.111487384068
data_art_107,0.57663691,0.18078172947
data_art_108,0.72317949,0.189486341925
data_art_109,0.791031745,0.163184798415
data_art_110,0.526470588235,0.122624486567
data_art_111,0.825813805,0.0778158342231
data_art_112,0.636880255,0.179509128661
data_art_113,0.651445205,0.127585986604
data_art_114,0.64135417,0.173679592382
data_art_115,0.75017361,0.22517645894
data_art_116,0.75916103,0.110562689364
data_art_117,0.59670139,0.228596322077
data_art_118,0.66053031,0.174634353788
data_art_119,0.64285713,0.248248416975
data_art_120,0.71388888,0.260750035476
data_art_121,0.563149365,0.180975469546
data_art_122,0.684248085,0.114801370453
data_art_123,0.71414192,0.0867482630123
data_art_124,0.72630029,0.105281752745
data_art_125,0.748707855,0.0972759791057
data_art_126,0.79091778,0.106434661332
data_art_127,0.64536112,0.134392838843
data_art_128,0.76636905,0.155558434786
data_art_129,0.686728395,0.136094317521
data_art_130,0.7323366,0.152138093106
data_art_131,0.86354938,0.0690073975289
data_art_132,0.59199812,0.162965489557
data_art_133,0.55081589,0.137862490996
data_art_134,0.791847825,0.116016342056
data_art_135,0.66403736,0.141190784286
data_art_136,0.807625525,0.0987920205189
data_art_138,0.76066146,0.125998305452
data_art_139,0.641666666667,0.234050019792
data_art_140,0.824769425,0.130651825355
data_art_141,0.599722225,0.178684403891
data_art_142,0.690208315,0.104941533433
data_art_143,0.68228506,0.100093766728
data_art_144,0.67345238,0.121611749968
data_art_145,0.689812085,0.128195719317
data_art_146,0.911032205,0.101027668959
data_art_147,0.72915912,0.106985419526
data_art_148,0.82044643,0.107032333401
data_art_149,0.86818858,0.0798025185015
data_art_150,0.62673612,0.183586756243
data_art_151,0.82967511,0.104892773854
data_art_152,0.68827381,0.120160531419
data_art_153,0.93340773,0.0814961491614
data_art_154,0.61348684,0.113596878874
data_art_155,0.6312322,0.160688088654
data_art_156,0.694975505,0.117497746073
data_art_157,0.71322917,0.142197834035
data_art_158,0.84947892,0.0585475932619
data_art_159,0.70832063,0.105414759024
data_art_160,0.892237915,0.0909093893705
data_art_161,0.67526462,0.116655689315
data_art_162,0.74964012,0.104981422858
data_art_163,0.666016055,0.152132334305
data_art_164,0.96939709,0.0548375245957
data_art_165,0.52631578,0.198928673983
data_art_166,0.68969348,0.121456799802
data_art_167,0.65707861,0.16875984576
data_art_169,0.63522728,0.229978253097
data_art_170,0.744607425,0.124089393057
data_art_171,0.778125005,0.162102029704
data_art_172,0.7006131,0.103935383312
data_art_173,0.86764263,0.101174109505
data_art_174,0.9440954,0.0804901026555
data_art_175,0.7859375,0.1146350312
data_art_176,0.774435975,0.160869904369
data_art_177,0.666996045,0.102110102779
data_art_178,0.671018765,0.105658822127
data_art_179,0.647946425,0.136515269633
data_art_180,0.831264885,0.104756760304
data_art_181,0.85090104,0.0950822976303
data_art_182,0.837603125,0.0772981533395
data_art_183,0.57387074,0.123037615852
data_art_184,0.63848039,0.0831959203794
data_art_185,0.660307016667,0.278357593136
data_art_186,0.825158095,0.118520308886
data_art_187,0.75700589,0.1266061138
data_art_188,0.75306782,0.103087665226
data_art_189,0.57229438,0.220965532945
data_art_190,0.960364675,0.0545513136932
data_art_191,0.796825395,0.134952265986
data_art_192,0.690403845,0.186791760042
data_art_193,0.89710647,0.0748645516558
data_art_194,0.567857135,0.206597671575
data_art_195,0.547552085,0.174743079702
data_art_196,0.82697277,0.0877654339927
data_art_197,0.854538695,0.0908072747838
data_art_198,0.846326535,0.072835934473
data_art_199,0.66483037,0.186801109205
data_art_200,0.722369045,0.099039645012
data_art_201,0.70763441,0.201429925586
