dataset,mean,std
data2_0,0.9078338,0.0231330569169
data2_1,0.850446385,0.03264656287
data2_10,0.99430171,0.00871203207771
data2_12,0.625595235,0.192745236502
data2_14,0.875,0.22213082916
data2_16_1,0.9850959,0.0166673067437
data2_19_0,0.978937195,0.0252597266075
data2_19_1,0.949664255,0.0547648205543
data2_19_2,0.96447138,0.0603623618164
data2_2,0.59057126,0.114180102523
data2_26,1.0,0.0
data2_27,0.989109845,0.018697376652
data2_28,0.99583333,0.0135933576783
data2_29,0.978666665,0.0257382309675
data2_3,0.7549516,0.127698092241
data2_30,0.992760995,0.0141623492064
data2_31,0.96124483,0.0473349541366
data2_32,0.965151505,0.110616437408
data2_33,0.95360972,0.0399713719477
data2_34,0.517860965,0.0451681940208
data2_35,0.96850557,0.0202725735256
data2_36,1.0,0.0
data2_37,0.82837364,0.0799827715944
data2_39,0.9440873,0.102030640538
data2_4,0.98075893,0.0174213054476
data2_40,0.64739584,0.198864831628
data2_41,0.57678572,0.127604454338
data2_42,0.685256407692,0.218161345297
data2_43,0.954166665,0.149526821581
data2_44,0.995169077778,0.0144927666667
data2_45,0.5,0.0
data2_46,0.907291675,0.0775571432366
data2_48,0.835714285,0.210017352524
data2_49,0.963043485,0.0596579388915
data2_5,0.47974138,0.0905993029007
data2_51,0.952083335,0.104289400782
data2_52,0.91001082,0.0911219543
data2_54,1.0,0.0
data2_55,0.56666667,0.181610731772
data2_56,0.993333335,0.0298142322464
data2_59,0.52142857,0.066603974909
data2_6,0.957275035,0.109148517412
data2_63,0.93950046,0.0329660247471
data2_64,0.84566667,0.140800138415
data2_66,0.9715247,0.00964984798795
data2_68,0.883076925,0.0849036857163
data2_70,0.545454545,0.114944620817
data2_72,0.576843575,0.143297535709
data2_73,0.993491835,0.0200697051529
data2_74,0.97720025,0.0298253360173
data2_75,0.991715545,0.0128850396129
data2_76,0.5703125,0.14675180307
data2_77,0.87471225,0.0626233922789
data2_78,0.99262784,0.0109853331888
data2_79,0.984027775,0.0267632671763
data2_8,0.960119045,0.0623656722394
data2_80,0.523958335,0.107144931375
data2_81,0.494444445,0.0878294796844
data2_82,0.879513895,0.169239928366
data2_83,0.928819435,0.0975577797652
data2_84,0.640625005,0.19762790879
data2_85,0.560763885,0.147001290623
data2_86,0.55625,0.138043848445
data2_87,0.97013889,0.0479592820583
data2_88,0.625,0.180864558303
data2_89,0.975347225,0.0277297559684
data2_9,0.95456349,0.0635634881795
data2_90,0.93577778,0.0255913877245
data2_91,0.929444435,0.0383471015278
data2_92,0.95522222,0.0420666480508
data2_93,0.99722222,0.0124226098131
data2_94,0.9925,0.0232423023791
data2_95,1.0,0.0
data_art_000,0.50232143,0.01038175057
data_art_001,0.643504905,0.205018211557
data_art_002,0.511111115,0.0803056355477
data_art_003,0.54963462,0.112035858666
data_art_004,0.513903745,0.0476458999421
data_art_005,0.604251355,0.185886597595
data_art_006,0.497798645,0.0141192575093
data_art_007,0.528063725,0.0799939229037
data_art_008,0.48048245,0.122951914927
data_art_009,0.511166665,0.0499388440439
data_art_010,0.502432435,0.0479393552468
data_art_011,0.504272455,0.0435168796817
data_art_012,0.532578915,0.090518447009
data_art_013,0.5,0.160949076615
data_art_014,0.54230769,0.141906370559
data_art_015,0.89291667,0.155533295142
data_art_016,0.493002135,0.0261794577424
data_art_017,0.4875,0.0971637250916
data_art_018,0.5,0.0
data_art_019,0.51290613,0.0382518455146
data_art_020,0.52840909,0.111868643059
data_art_021,0.51864596,0.124331486221
data_art_022,0.5015625,0.0208401852767
data_art_023,0.518,0.0554028310126
data_art_024,0.490625,0.0419262745781
data_art_025,0.49878049,0.00545381451848
data_art_026,0.53680159,0.0803978642501
data_art_027,0.549999995,0.121991072517
data_art_028,0.5,0.0
data_art_029,0.50952381,0.0425917731296
data_art_031,0.50590909,0.0264262538503
data_art_032,0.500876435,0.0653594887035
data_art_033,0.535270565,0.091325131599
data_art_034,0.50681818,0.068199529027
data_art_035,0.495872045,0.0390101387189
data_art_036,0.5706044,0.219036296857
data_art_037,0.498233485,0.046977797862
data_art_038,0.51769842,0.052698399614
data_art_039,0.900883625,0.124124873582
data_art_040,0.52180704,0.0568482741075
data_art_041,0.54613095625,0.224781537944
data_art_042,0.50375,0.141194388214
data_art_043,0.44722222,0.15344749547
data_art_045,0.49776203,0.0685804656864
data_art_046,0.486875,0.0586967844094
data_art_047,0.48712121,0.0575956998159
data_art_048,0.445588235,0.138702195701
data_art_049,0.53012012,0.0764261015326
data_art_050,0.571875,0.168774364713
data_art_051,0.72512847,0.133605910554
data_art_052,0.50214844,0.0527663522346
data_art_053,0.4965625,0.0153729673453
data_art_054,0.50771199,0.045378356885
data_art_055,0.523065135,0.0876110801459
data_art_056,0.590625,0.136432172569
data_art_057,0.541904765,0.123475074913
data_art_058,0.5455259,0.122755516419
data_art_060,0.500454545,0.124455320825
data_art_061,0.860714285,0.308729945021
data_art_062,0.53670834,0.11269868733
data_art_063,0.50392157,0.0153867269974
data_art_064,0.494927535,0.0163054104951
data_art_065,0.575438595,0.142367770913
data_art_067,0.495238095,0.0212958865648
data_art_068,0.514367585,0.0447979952989
data_art_069,0.54183908,0.0813029876082
data_art_070,0.498214285,0.0238955300687
data_art_071,0.646377625,0.140139873431
data_art_072,0.552884615,0.129361765997
data_art_073,0.520675505,0.0865978577999
data_art_074,0.504074075,0.0150996086492
data_art_075,0.784672615,0.184400666368
data_art_076,0.58269231,0.183088746182
data_art_077,0.53094287,0.0911421157801
data_art_078,0.526086955,0.0928703457304
data_art_079,0.54102694,0.0788937097488
data_art_080,0.515488925,0.092363456366
data_art_081,0.473684210526,0.0964358402258
data_art_082,0.475,0.111803398875
data_art_083,0.516870885,0.0495945749993
data_art_084,0.495454545,0.132644660811
data_art_090,0.50820931,0.0417416088414
data_art_091,0.50774681,0.0294286421027
data_art_092,0.51894982,0.0490449349835
data_art_093,0.761378495,0.151570688577
data_art_094,0.54592803,0.144201314338
data_art_095,0.51523077,0.0653878763063
